,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
269,tshela,75,RU,1545615000,77,64.42,-173.23,1.4,6.71
270,ismailia,68,RU,1545616189,57,50.37,119.09,-7.44,4.09
271,bargal,76,CA,1545616189,80,52.35,-110.26,10.57,9.46
272,kaitangata,0,ZA,1545613200,68,-23.89,30.29,68.0,11.41
273,verdun,0,LY,1545616189,87,26.59,12.77,38.15,6.67
274,cap malheureux,40,CO,1545613200,87,6.35,-75.51,60.8,2.24
275,wau,64,GB,1545612600,93,54.28,-0.41,39.2,5.82
276,sitka,92,IS,1545616032,96,63.44,-20.27,43.28,22.88
277,mitsamiouli,24,PG,1545616190,100,-2.57,150.8,86.12,2.98
278,durusu,36,GL,1545616190,100,72.79,-56.15,2.24,10.25
279,sofiysk,0,PT,1545613200,81,39.36,-9.38,51.8,10.29
280,matara,20,IE,1545616191,85,53.97,-8.3,31.49,5.55
281,medicine hat,20,ID,1545616191,87,-4.94,122.53,85.58,7.78
282,andevoranto,75,BN,1545615000,100,5.28,115.24,80.6,8.34
283,ongandjera,88,GL,1545612600,78,69.22,-51.1,15.8,20.8
284,margate,0,IR,1545613200,100,37.26,49.94,37.4,2.42
285,sanbu,0,MX,1545616191,99,27.97,-114.04,55.57,6.78
286,sao felix do xingu,0,SA,1545616191,81,26.33,43.97,39.91,4.09
287,mehamn,12,RU,1545616192,31,54.37,81.9,-21.03,10.92
288,manakara,36,ID,1545616192,83,-7.37,108.54,78.97,3.65
289,kurilsk,24,RU,1545616192,31,60.13,64.8,-20.58,5.66
290,salalah,36,ID,1545616192,100,-5.67,132.75,83.24,12.71
291,jardim,92,IS,1545616032,99,64.25,-15.21,41.35,23.89
292,verkhoyansk,90,FR,1545613200,100,45.6,-0.6,53.6,3.36
293,chokurdakh,92,RU,1545616193,87,54.43,31.9,23.98,11.81
294,mareeba,1,US,1545612960,71,41.97,-71.43,33.98,4.7
295,babu,36,NA,1545616193,92,-20.37,14.96,64.43,2.3
296,waw,90,US,1545613980,92,48.41,-114.33,28.04,3.36
297,riyadh,75,CA,1545613200,76,65.28,-126.83,-9.41,3.42
298,vao,90,CA,1545613200,68,49.25,-55.06,28.4,18.34
299,tasiilaq,75,CA,1545613200,85,52.36,-106.96,10.4,9.17
300,baker city,90,US,1545615300,72,45.31,-93.79,24.08,6.93
301,subaan,88,CA,1545616194,81,50.56,-96.99,11.78,4.76
302,lata,0,GH,1545613200,78,5.86,-0.66,80.6,4.7
303,wanning,40,JP,1545613200,65,36.22,136.15,41.0,18.34
304,batesville,0,CN,1545616195,77,40.29,97.04,7.42,13.27
305,gorno-chuyskiy,8,RU,1545616195,95,69.38,178.42,-11.35,13.82
306,kuryk,0,BJ,1545613200,69,6.37,2.09,78.8,1.12
307,yuzhno-kurilsk,1,US,1545613020,47,21.32,-158.01,82.94,6.93
308,necochea,44,MN,1545616195,68,49.49,105.92,-0.1,10.13
309,provideniya,0,NG,1545613200,88,6.46,3.39,77.0,2.24
310,hurghada,0,NG,1545616196,69,8.92,6.4,61.55,4.43
311,priargunsk,75,CU,1545612600,73,21.26,-78.15,73.4,14.99
312,provost,36,RU,1545616196,74,60.71,114.91,-17.43,4.76
313,nkowakowa,88,PY,1545616196,90,-19.93,-60.77,76.04,1.63
314,awbari,0,PK,1545616196,89,28.9,64.41,37.03,5.66
315,copacabana,90,RU,1545615000,77,53.14,59.15,-2.21,4.47
316,scarborough,76,GL,1545616197,87,61.99,-49.67,36.67,39.66
317,sentyabrskiy,75,BR,1545613200,88,-27.6,-48.55,73.4,6.93
318,vestmannaeyjar,0,CL,1545613200,44,-33.73,-70.74,75.2,6.93
319,kavieng,0,NP,1545616197,68,28.21,83.99,40.49,2.19
320,upernavik,8,BR,1545616197,97,-21.64,-41.05,79.96,16.17
321,peniche,80,RU,1545616197,100,65.58,-170.99,10.52,19.64
322,boyle,92,ID,1545616198,91,-7.38,108.21,71.54,2.75
323,katobu,0,CN,1545613200,73,36.09,120.35,26.6,2.24
324,bur gabo,0,IN,1545616198,78,28.33,75.06,44.09,2.75
325,labuan,40,CM,1545613200,100,4.42,9.93,75.2,1.12
326,ilulissat,68,AU,1545616198,48,-34.72,135.86,82.21,11.7
327,astaneh-ye ashrafiyeh,0,ML,1545616198,41,22.68,-3.98,52.73,13.15
328,guerrero negro,80,PH,1545616199,62,17.32,120.7,83.2,4.76
329,sinkat,92,GL,1545616199,100,68.71,-52.87,21.1,14.72
330,buraydah,24,RU,1545616199,72,49.22,143.1,9.89,10.13
331,ordynskoye,75,IL,1545614400,82,31.8,34.94,55.4,4.7
332,banjar,36,LS,1545616199,53,-29.31,27.48,53.32,2.42
333,uray,20,UA,1545616199,94,46.93,35.45,29.83,11.48
334,tual,1,CA,1545615300,92,45.36,-73.48,15.8,3.2
335,hofn,80,PE,1545616200,100,-16.09,-69.64,40.18,3.98
336,souillac,20,MU,1545613200,88,-20.01,57.66,73.4,8.05
337,sobolevo,20,AR,1545613200,32,-51.62,-69.22,55.4,17.22
338,cumberland,90,CA,1545615420,92,49.02,-122.8,44.6,3.36
339,khorixas,0,RU,1545615000,65,55.79,84.89,-34.61,4.47
340,whitefish,1,US,1545615300,74,41.04,-88.87,33.98,10.29
341,norman wells,92,MG,1545616201,97,-13.19,49.05,75.05,6.89
342,lewisporte,0,AU,1545616172,58,-33.28,149.1,74.42,5.44
343,langham,8,CN,1545616201,88,32.07,116.17,45.89,9.57
344,monticello,40,BH,1545615000,77,26.15,50.62,62.6,12.75
345,husavik,64,ID,1545616201,61,-3.46,120.21,82.66,5.21
346,asamankese,92,MG,1545616201,88,-19.53,45.46,69.29,2.75
347,attawapiskat,92,GL,1545616202,92,60.91,-46.05,30.37,5.44
348,mikuni,0,SD,1545616202,56,12.35,32.18,65.11,12.03
349,yumen,44,RU,1545616202,74,54.46,64.85,-6.22,8.68
350,leningradskiy,75,AO,1545613200,83,-8.83,13.24,78.8,3.36
351,ouidah,56,CL,1545616202,96,-22.09,-70.2,60.61,2.64
352,ewa beach,0,IN,1545616008,88,25.52,90.21,63.98,3.42
353,darhan,100,CD,1545616203,93,-2.95,25.92,70.87,2.86
354,lagos,8,RU,1545616203,57,52.15,93.92,-14.37,2.19
355,fowa,20,JM,1545613200,74,18.44,-78.17,78.8,8.05
356,armacao dos buzios,0,PK,1545616203,100,24.14,67.45,63.53,18.3
357,vertientes,76,ES,1545613200,100,42.46,-6.05,37.4,4.7
358,lensk,80,DK,1545616204,91,57.08,9.27,31.49,3.2
359,mayor pablo lagerenza,20,CA,1545613200,65,50.2,-66.38,6.8,9.17
360,dalbandin,90,LA,1545613200,88,19.89,102.14,62.6,2.42
361,svetlogorsk,0,IN,1545616204,73,26.75,92.1,55.43,1.86
362,paamiut,88,CV,1545616204,95,14.9,-24.5,74.92,8.12
363,florianopolis,0,CR,1545613200,64,9.43,-84.16,68.0,18.34
364,buin,36,ZA,1545616205,85,-28.77,32.06,70.51,10.47
365,pokhara,90,TM,1545613200,86,38.05,58.21,39.2,6.93
366,sao joao da barra,90,UA,1545615000,96,50.16,37.0,32.0,13.42
367,lavrentiya,90,FR,1545613200,87,46.42,3.91,53.6,8.05
368,kawalu,0,NG,1545613200,88,5.43,7.07,68.0,3.31
369,qingdao,90,CA,1545614580,100,47.66,-52.73,32.0,18.34
370,dhadar,40,US,1545614100,76,36.67,-121.66,57.92,9.17
371,madimba,75,BR,1545613200,88,-3.71,-38.6,77.0,9.17
372,port lincoln,75,CA,1545613200,77,49.72,-86.95,-0.41,6.93
373,taoudenni,40,ID,1545615000,74,-8.65,115.22,84.2,6.93
374,luba,0,NZ,1545616089,40,-45.41,167.72,71.0,3.53
375,aasiaat,75,GB,1545614400,93,53.41,-2.98,42.8,2.24
376,poronaysk,20,SE,1545614400,84,62.49,17.33,8.6,3.36
377,gizo,20,US,1545612960,54,20.89,-156.47,82.04,18.34
378,maseru,90,PE,1545613200,88,-7.84,-79.15,69.8,10.29
379,tambovka,0,PK,1545616207,75,24.7,70.18,44.63,4.21
380,saint-philippe,64,CD,1545616207,46,1.23,23.61,81.58,8.57
381,ilave,12,GB,1545614760,93,52.47,1.45,42.8,3.36
382,grand gaube,32,SO,1545616208,100,9.49,50.81,76.13,23.44
383,rio gallegos,75,PL,1545615000,100,51.6,18.74,35.6,10.29
384,white rock,24,RU,1545616208,34,60.87,60.43,-22.6,7.56
385,talaya,32,RU,1545616208,31,61.68,96.39,-22.38,6.55
386,ancona,0,RU,1545616208,29,65.61,72.68,-19.77,14.5
387,ambilobe,90,US,1545614100,68,41.96,-88.08,37.04,4.7
388,orange,68,AU,1545616208,32,-20.74,116.85,98.27,10.25
389,changji,0,NG,1545616209,46,12.18,6.51,55.97,10.47
390,sitrah,0,SO,1545616209,78,4.12,43.89,69.7,12.71
391,kaili,20,NA,1545616209,43,-17.91,19.77,75.46,5.77
392,miandrivazo,0,CN,1545616210,63,38.94,100.46,7.06,2.53
393,narsaq,48,RU,1545616210,52,50.93,84.77,-12.97,0.85
394,marabba,20,MX,1545612060,43,27.52,-110.01,71.6,2.24
395,zverinogolovskoye,12,MG,1545616210,100,-20.3,44.28,72.53,2.98
396,luanda,56,CN,1545616210,53,37.07,114.49,28.34,4.43
397,tocopilla,8,MN,1545616210,40,45.76,106.27,-2.04,8.68
398,tura,8,UG,1545616211,93,0.64,34.26,60.61,3.2
399,kindu,24,VN,1545616211,96,10.93,108.1,80.32,3.65
400,babanusah,0,SN,1545613200,88,12.49,-16.54,66.2,3.2
401,turan,56,RU,1545616211,32,62.1,126.7,-22.33,3.76
402,lucea,0,MX,1545616211,72,18.62,-100.35,54.4,2.42
403,keti bandar,1,US,1545613080,64,36.19,-94.13,39.92,2.64
404,astorga,20,JP,1545615000,66,35.73,140.83,50.0,9.17
405,fjerritslev,0,CN,1545616212,44,38.52,102.19,6.83,2.75
406,temaraia,0,NZ,1545615000,63,-43.53,172.64,66.2,23.04
407,sept-iles,92,NC,1545615000,62,-21.61,166.22,89.6,11.41
408,luang prabang,12,MR,1545616212,35,20.52,-13.05,53.99,6.55
409,udalguri,44,IE,1545616213,100,53.8,-9.52,38.15,7.45
410,sao filipe,1,US,1545614100,59,30.04,-94.42,59.0,4.7
411,quepos,0,AU,1545615000,13,-34.96,138.58,89.6,11.41
412,richards bay,76,ZM,1545616295,98,-14.56,30.81,69.74,3.65
413,buzmeyin,0,UY,1545613200,77,-34.68,-56.22,69.8,4.7
414,pilna,68,ID,1545616214,100,-8.49,140.4,81.53,5.21
415,saint-francois,8,CO,1545613200,61,2.89,-75.43,80.6,6.93
416,naze,0,NG,1545616214,47,11.67,10.19,54.58,9.91
417,torbay,90,CA,1545613200,64,70.47,-68.59,-2.21,8.05
418,salinas,0,CN,1545616215,19,42.27,118.96,21.5,9.46
419,vila velha,0,BJ,1545616215,49,9.2,2.26,60.43,5.99
420,geraldton,1,US,1545614100,89,30.37,-88.56,62.96,7.34
421,denpasar,12,BR,1545616215,95,-8.16,-70.77,73.3,2.86
422,asau,0,SD,1545616215,50,13.6,26.69,52.06,13.49
423,te anau,92,NZ,1545616215,99,-39.94,176.59,59.03,13.94
424,liverpool,20,BR,1545616216,94,-1.83,-65.37,75.82,1.52
425,timra,92,CN,1545616216,89,28.89,110.18,41.03,3.2
426,kahului,90,US,1545614400,59,39.62,-77.74,44.6,3.42
427,chicama,64,RU,1545616216,96,45.84,41.51,34.42,13.38
428,islamkot,20,AU,1545613200,31,-32.49,137.76,91.4,10.29
429,basoko,8,CN,1545616216,29,47.79,124.46,8.68,8.79
430,broome,80,GB,1545614400,93,53.55,-0.49,41.0,2.24
431,bandarbeyla,20,CL,1545613200,82,-41.87,-73.83,59.0,4.7
432,sieradz,0,RU,1545616217,100,53.19,107.35,-9.51,13.49
433,polunochnoye,0,CL,1545613200,87,-38.65,-72.23,57.2,5.82
434,baykit,75,AE,1545613200,68,25.36,55.39,64.4,5.82
435,staryy nadym,90,FR,1545613200,93,47.7,-0.08,55.4,11.41
436,bloomingdale,80,FO,1545614400,81,62.23,-6.59,42.8,20.8
437,karratha,75,BR,1545613200,94,-1.76,-48.8,75.2,2.24
438,samalaeulu,0,NA,1545616221,78,-26.65,15.16,59.17,15.05
439,auki,40,TH,1545613200,88,8.35,100.2,78.8,5.77
440,xuddur,68,ID,1545616221,64,-8.09,111.9,82.48,7.45
441,rundu,88,PH,1545616222,100,10.83,122.09,78.2,2.75
442,solovetskiy,40,TH,1545613200,73,17.63,100.1,69.8,3.36
443,qui nhon,12,NA,1545616222,97,-22.12,14.28,62.32,5.55
444,zhangye,88,RU,1545616222,39,69.49,88.39,-25.75,13.04
445,ust-kan,8,MV,1545616222,100,5.67,73.0,82.52,11.81
446,laguna,36,SO,1545616223,100,11.28,49.18,75.23,17.74
447,morondava,36,RU,1545616223,61,59.7,150.17,-14.1,2.86
448,xingtai,36,BR,1545616223,96,-25.41,-52.42,66.5,2.08
449,mandalgovi,80,PF,1545616223,100,-16.48,-151.75,82.03,16.17
450,malaba,75,JP,1545613200,86,36.66,137.31,37.4,4.7
451,phan thiet,0,NE,1545616223,51,15.46,6.28,51.38,11.36
452,oussouye,20,MX,1545612060,43,27.62,-110.24,71.6,2.24
453,berdigestyakh,75,NO,1545612600,100,58.61,5.65,28.4,1.12
454,coahuayana,75,NO,1545614400,100,58.89,5.65,37.4,1.12
455,springdale,92,BR,1545616224,93,-6.87,-39.88,68.62,3.31
456,hasaki,0,IN,1545616224,59,18.62,84.23,69.52,3.98
457,jinchang,0,RU,1545615000,65,56.73,85.44,-34.61,4.47
458,christchurch,90,GE,1545615000,87,41.96,42.96,44.6,3.36
459,thio,36,RU,1545616225,53,46.45,135.83,3.05,7.23
460,atar,1,US,1545615300,90,36.3,-76.22,46.04,7.67
461,westport,8,RU,1545616225,100,59.58,151.3,3.37,17.85
462,nome,20,ES,1545613200,93,43.27,-7.54,50.0,5.82
463,vestbygda,75,CA,1545613200,78,53.65,-115.58,17.6,4.7
464,black forest,56,MK,1545616226,89,41.28,20.71,28.93,1.97
465,nyimba,90,RU,1545615000,78,57.3,39.54,14.0,8.95
466,progreso,0,IN,1545616226,85,28.8,79.03,46.48,2.86
467,merauke,92,IS,1545616032,95,65.08,-22.73,40.94,21.99
468,palermo,75,JP,1545613200,73,24.8,125.28,71.6,18.34
469,azare,75,MY,1545613200,83,6.89,116.84,82.4,9.17
470,clyde river,20,AU,1545616226,66,-12.05,134.23,92.47,4.76
471,chifeng,8,ES,1545616227,100,40.42,0.43,59.03,4.21
472,aban,20,VE,1545613200,73,10.61,-66.85,77.0,11.92
473,beterou,0,SD,1545616227,61,14.2,24.66,42.38,9.8
474,pascagoula,76,PF,1545616227,100,-22.43,-151.33,78.38,17.85
475,tarauaca,90,CA,1545613200,85,52.41,-108.71,12.2,13.87
476,umm kaddadah,1,MX,1545612960,80,32.5,-116.96,62.96,6.11
477,waipawa,0,LY,1545616228,82,27.03,14.43,37.25,4.21
478,korla,75,GB,1545614400,93,53.12,-2.65,42.8,2.24
479,maraa,36,RU,1545616231,76,55.82,65.58,-11.22,7.56
480,huilong,12,ID,1545616232,100,4.14,96.13,80.63,5.77
481,vardo,75,TR,1545615000,57,41.19,40.99,51.8,4.7
482,krasnogvardeyskoye,75,JP,1545613200,46,34.7,138.93,53.6,23.04
483,port augusta,90,CA,1545613200,85,44.23,-76.48,26.06,4.7
484,fuyu,92,GA,1545616232,100,-1.57,9.26,79.87,5.99
485,brigg,75,NO,1545612600,65,78.22,15.63,6.8,3.36
486,ancud,0,DZ,1545613200,93,36.36,6.61,37.4,2.24
487,nguiu,32,YE,1545616004,97,12.79,45.03,78.29,15.61
488,khuzhir,64,CA,1545616233,84,55.43,-116.48,12.59,3.2
489,vilcun,92,NI,1545616233,100,14.04,-83.39,76.04,10.69
490,hunza,75,BN,1545615000,94,4.75,115.01,80.6,3.36
491,sharjah,0,IN,1545616234,71,27.1,93.63,62.23,2.64
492,la fleche,76,VU,1545616234,97,-15.51,167.18,83.6,12.03
493,klaksvik,0,IN,1545616234,69,27.2,73.74,44.77,2.75
494,ipixuna,20,JM,1545613200,74,18.03,-77.85,78.8,8.05
495,luderitz,1,US,1545612960,64,44.39,-68.2,23.0,3.36
496,pak phanang,90,UZ,1545615000,79,41.32,61.08,24.8,4.7
497,boyolangu,88,BO,1545616234,100,-15.31,-68.22,54.89,2.3
498,san remigio,40,US,1545615300,74,33.19,-82.53,59.0,8.05
499,akyab,75,CL,1545613200,87,-29.95,-71.34,60.8,8.05
500,uttaradit,75,DE,1545615000,93,51.95,13.9,41.0,4.7
501,umzimvubu,0,RU,1545616235,58,52.47,96.11,-4.87,4.65
502,henties bay,8,UA,1545616235,86,48.54,32.26,22.49,8.79
503,talnakh,76,VE,1545616235,92,10.49,-68.2,65.56,2.64
504,halalo,8,KZ,1545616236,78,45.32,55.19,11.33,11.92
505,ugoofaaru,20,IN,1545615000,64,19.3,73.06,73.4,2.24
506,bosaso,0,RU,1545616236,55,52.53,111.54,-7.93,11.48
507,arman,12,ID,1545616236,97,-3.75,103.64,82.03,3.76
508,laranjeiras do sul,40,CM,1545613200,100,3.8,10.13,75.2,1.12
509,faanui,68,BR,1545616236,100,-21.23,-45.76,66.55,2.64
510,tateyama,75,HN,1545613200,88,15.78,-87.45,73.4,4.7
511,milingimbi,68,SE,1545614400,74,57.64,18.3,30.2,12.75
512,abalak,20,MN,1545616237,42,47.25,107.54,1.12,12.93
513,cardenas,0,NE,1545616237,53,13.51,7.78,54.13,11.48
514,varhaug,90,NO,1545614400,79,63.83,10.7,37.4,11.41
515,sola,40,PY,1545613200,88,-25.97,-55.19,77.0,2.53
516,assare,75,BR,1545613200,83,-5.2,-35.46,80.6,13.87
517,tekkali,0,AU,1545616238,61,-41.18,146.36,69.83,12.37
518,oktyabrskoye,0,MX,1545616238,84,19.93,-105.25,59.35,2.3
519,khani,0,IN,1545616238,74,22.62,71.45,55.25,3.76
520,vostok,40,RU,1545615000,73,56.15,101.63,-36.41,4.43
521,elizabeth city,0,RU,1545616239,25,53.97,121.97,-18.51,2.3
522,ola,20,LK,1545613800,100,6.12,81.12,71.6,3.36
523,bereda,48,RU,1545616239,54,51.13,133.04,-6.36,4.99
524,mackay,92,CN,1545616239,81,34.57,105.89,29.6,3.31
525,poum,0,VE,1545616239,87,9.96,-71.12,82.07,6.67
526,semibratovo,68,CN,1545616239,87,27.34,103.71,38.65,2.86
527,rampur,76,CD,1545616240,95,-8.74,25.0,65.33,2.98
528,stykkisholmur,90,US,1545612780,92,42.03,-121.6,35.96,10.29
529,hirara,90,CA,1545613200,84,55.1,-105.3,3.2,3.36
530,kudat,75,PT,1545613200,93,37.73,-25.67,57.2,5.82
531,maningrida,75,MY,1545615000,78,1.48,103.39,82.4,6.93
532,benicarlo,56,SB,1545616240,99,-8.15,159.59,82.57,4.09
533,caraballeda,75,GF,1545615000,94,4.94,-52.33,75.2,1.12
534,dibaya,88,MR,1545613200,55,20.93,-17.03,64.4,5.82
535,kutum,56,CU,1545616241,97,20.04,-77.58,79.42,10.92
536,moerai,0,BF,1545616241,42,14.45,-0.24,56.87,12.15
537,wilkie,75,DE,1545614760,65,49.56,8.71,46.4,10.29
538,tijuana,68,BR,1545616242,98,-2.98,-65.16,72.17,2.75
539,sabha,88,ZM,1545616242,98,-8.77,31.12,60.88,2.75
540,bunbury,0,RU,1545616242,30,66.08,76.63,-20.13,18.19
541,belozerskoye,76,RU,1545616242,75,53.94,139.92,7.19,8.23
